PERFIL_NUTRICIONAL; MOTORISTA; CODRACAO; TIPO_RACAO; TRATO; DIAS_CONF; DATA_ENTR; DATA_CONSUMO; LOTE; CURRAL; CAB; LEITURA; MS_DIETA; PREVISTO; REALIZADO; HORA_INICIAL; HORA_FINAL
TT;GUILHERME;10479;TERMINAÇÃO;3;47;13/12/2024;28/01/2025;11165;CUR-12;142;1;63,8252;728,75;725;13:44:47;13:45:12
TT;GUILHERME;10479;TERMINAÇÃO;4;47;13/12/2024;28/01/2025;11165;CUR-12;142;1;63,8252;665;670;16:44:03;16:44:24
TT;GUILHERME;10479;TERMINAÇÃO;1;47;13/12/2024;28/01/2025;11167;CUR-13;112;1;63,8252;642,5;655;08:00:19;08:00:45
TT;GUILHERME;10479;TERMINAÇÃO;2;47;13/12/2024;28/01/2025;11167;CUR-13;112;1;63,8252;642,5;645;10:48:01;10:48:24
TT;GUILHERME;10479;TERMINAÇÃO;3;47;13/12/2024;28/01/2025;11167;CUR-13;112;1;63,8252;642,5;670;13:45:12;13:45:38
TT;GUILHERME;10479;TERMINAÇÃO;4;47;13/12/2024;28/01/2025;11167;CUR-13;112;1;63,8252;600;615;16:44:26;16:44:49
TT;GUILHERME;10479;TERMINAÇÃO;1;50;10/12/2024;28/01/2025;11163;CUR-14;143;1;63,8252;818,75;785;08:01:00;08:01:36
TT;GUILHERME;10479;TERMINAÇÃO;2;50;10/12/2024;28/01/2025;11163;CUR-14;143;1;63,8252;818,75;825;10:48:27;10:48:50
TT;GUILHERME;10479;TERMINAÇÃO;3;50;10/12/2024;28/01/2025;11163;CUR-14;143;1;63,8252;818,75;820;13:45:38;13:46:05
TT;GUILHERME;10479;TERMINAÇÃO;4;50;10/12/2024;28/01/2025;11163;CUR-14;143;1;63,8252;845;740;16:44:49;16:45:13
TT;GUILHERME;10479;TERMINAÇÃO;1;49;11/12/2024;28/01/2025;11162;CUR-15;146;1;63,8252;827,5;790;08:01:36;08:02:02
TT;GUILHERME;10479;TERMINAÇÃO;2;49;11/12/2024;28/01/2025;11162;CUR-15;146;1;63,8252;827,5;855;10:48:51;10:49:12
TT;GUILHERME;10479;TERMINAÇÃO;3;49;11/12/2024;28/01/2025;11162;CUR-15;146;1;63,8252;827,5;845;13:46:07;13:46:31
TT;GUILHERME;10479;TERMINAÇÃO;4;49;11/12/2024;28/01/2025;11162;CUR-15;146;1;63,8252;820;820;16:45:13;16:45:35
TT;GUILHERME;10479;TERMINAÇÃO;1;54;06/12/2024;28/01/2025;11157;CUR-16;138;1;63,8252;742,5;685;08:02:04;08:02:30
TT;GUILHERME;10479;TERMINAÇÃO;2;54;06/12/2024;28/01/2025;11157;CUR-16;138;1;63,8252;742,5;675;10:49:14;10:49:39
TT;GUILHERME;10479;TERMINAÇÃO;3;54;06/12/2024;28/01/2025;11157;CUR-16;138;1;63,8252;742,5;715;13:46:32;13:46:54
TT;GUILHERME;10479;TERMINAÇÃO;4;54;06/12/2024;28/01/2025;11157;CUR-16;138;1;63,8252;895;850;16:45:36;16:45:57
TT;GUILHERME;10479;TERMINAÇÃO;1;51;09/12/2024;28/01/2025;11161;CUR-17;123;1;63,8252;617,5;660;08:02:30;08:02:56
TT;GUILHERME;10479;TERMINAÇÃO;2;51;09/12/2024;28/01/2025;11161;CUR-17;123;1;63,8252;617,5;545;10:49:39;10:50:04
TT;GUILHERME;10479;TERMINAÇÃO;3;51;09/12/2024;28/01/2025;11161;CUR-17;123;1;63,8252;617,5;615;13:46:56;13:47:19
TT;GUILHERME;10479;TERMINAÇÃO;4;51;09/12/2024;28/01/2025;11161;CUR-17;123;1;63,8252;650;590;16:45:59;16:46:22
TT;GUILHERME;10479;TERMINAÇÃO;1;54;06/12/2024;28/01/2025;11158;CUR-18;104;1;63,8252;680,0001;675;08:02:56;08:03:19
TT;GUILHERME;10479;TERMINAÇÃO;2;54;06/12/2024;28/01/2025;11158;CUR-18;104;1;63,8252;680,0001;695;10:50:04;10:50:24
TT;GUILHERME;10479;TERMINAÇÃO;3;54;06/12/2024;28/01/2025;11158;CUR-18;104;1;63,8252;680,0001;680;13:47:21;13:47:44
TT;GUILHERME;10479;TERMINAÇÃO;4;54;06/12/2024;28/01/2025;11158;CUR-18;104;1;63,8252;670,0004;660;16:46:22;16:46:45
TT;GUILHERME;10479;TERMINAÇÃO;1;55;05/12/2024;28/01/2025;11156;CUR-19;135;1;63,8252;847,5;890;08:03:20;08:03:47
TT;GUILHERME;10479;TERMINAÇÃO;2;55;05/12/2024;28/01/2025;11156;CUR-19;135;1;63,8252;847,5;830;10:50:25;10:50:56
TT;GUILHERME;10479;TERMINAÇÃO;3;55;05/12/2024;28/01/2025;11156;CUR-19;135;1;63,8252;847,5;825;13:47:46;13:48:11
