dbo,GA_AGD_CLASSE_AGREGADO,ICO_CLASSE,varchar,500,YES
dbo,GA_AGD_CLASSE_AGREGADO,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_CLASSE_AGREGADO,IMG_CLASSE,varchar,500,YES
dbo,GA_AGD_CLASSE_AGREGADO,ID_COMPONENTE,numeric,NULL,YES
dbo,GA_AGD_CLASSE_AGREGADO,COD_PECA,varchar,10,YES
dbo,GA_AGD_CLASSE_AGREGADO,COD_EMPR,numeric,NULL,YES
dbo,GA_AGD_CLASSE_AGREGADO,FLG_RODANTE,numeric,NULL,YES
dbo,GA_AGD_CLASSE_VARIAVEL,ID_VARIAVEL,numeric,NULL,NO
dbo,GA_AGD_CLASSE_VARIAVEL,COD_CLASSE_AGREG,numeric,NULL,NO
dbo,GA_AGD_CLASSE_VARIAVEL,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_COMP_MAT_ROD,COD_CLASSE_AGREG,numeric,NULL,NO
dbo,GA_AGD_COMP_MAT_ROD,LADO,varchar,1,YES
dbo,GA_AGD_COMP_MAT_ROD,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_CONF_EQUIP,ID_DES_POS,numeric,NULL,NO
dbo,GA_AGD_CONF_EQUIP,COD_EQUIPAMENTO,varchar,15,NO
dbo,GA_AGD_CONF_EQUIP,ID_FAMILIA,numeric,NULL,NO
dbo,GA_AGD_CONF_EQUIP,CON_STATUS,numeric,NULL,YES
dbo,GA_AGD_CONF_EQUIP,CON_DATA_DES,datetime,NULL,YES
dbo,GA_AGD_CONF_EQUIP,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_CONF_EQUIP,COD_CLASSE_AGREG,numeric,NULL,YES
dbo,GA_AGD_CONFIG_MAT_ROD,COD_CLASSE_AGREG,numeric,NULL,NO
dbo,GA_AGD_CONFIG_MAT_ROD,AGD_CODIGO,varchar,15,NO
dbo,GA_AGD_CONFIG_MAT_ROD,COD_CLASSE_MATROD,numeric,NULL,NO
dbo,GA_AGD_CONFIG_MAT_ROD,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_CONFIGURACAO,ID_CONFIG,numeric,NULL,NO
dbo,GA_AGD_CONFIGURACAO,CON_DIR_IMAGEM,varchar,50,YES
dbo,GA_AGD_CONFIGURACAO,CON_LOGOTI,varchar,100,YES
dbo,GA_AGD_CONFIGURACAO,CON_OSCIL_MOUSE,numeric,NULL,YES
dbo,GA_AGD_CONFIGURACAO,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_CONFIGURACAO,COD_FORNEC,varchar,10,YES
dbo,GA_AGD_CONFIGURACAO,CON_ALOCA_APOS,varchar,1,YES
dbo,GA_AGD_CONFIGURACAO,CON_TRANSACAO_EMPR,varchar,1,YES
dbo,GA_AGD_CONFIGURACAO,CON_INFORMA_OS_ENV,varchar,1,YES
dbo,GA_AGD_CONFIGURACAO,CON_IMP_EQP_DES,varchar,1,YES
dbo,GA_AGD_CONFIGURACAO,USA_MATERIAL_RODANTE,varchar,1,YES
dbo,GA_AGD_COORDENADAS,ID_COORDENA,numeric,NULL,NO
dbo,GA_AGD_COORDENADAS,COO_PADRAO,numeric,NULL,NO
dbo,GA_AGD_COORDENADAS,COO_XI,numeric,NULL,NO
dbo,GA_AGD_COORDENADAS,COO_XF,numeric,NULL,NO
dbo,GA_AGD_COORDENADAS,COO_YI,numeric,NULL,NO
dbo,GA_AGD_COORDENADAS,COO_YF,numeric,NULL,NO
dbo,GA_AGD_DESENHO_DIAG,COD_DIAGRAMA,numeric,NULL,NO
dbo,GA_AGD_DESENHO_DIAG,ID_IMAGEM,numeric,NULL,NO
dbo,GA_AGD_DESENHO_DIAG,DES_CAMINHO,varchar,500,YES
dbo,GA_AGD_DESENHO_DIAG,ROWID,uniqueidentifier,NULL,YES
dbo,GA_AGD_DESENHO_DIAG,DES_DIAGRAMA,varchar,50,YES
dbo,GA_AGD_DESENHO_POS,ID_DES_POS,numeric,NULL,NO
dbo,GA_AGD_DESENHO_POS,COD_DIAGRAMA,numeric,NULL,YES
dbo,GA_AGD_DESENHO_POS,ID_IMAGEM,numeric,NULL,YES
